X,Y,Trajectory
668.750000,592.164809,0
668.762681,592.361895,0
668.771599,592.559442,0
668.782032,592.756803,0
668.799260,592.953332,0
668.827097,593.148539,0
668.864366,593.342472,0
668.908829,593.535292,0
668.958247,593.727160,0
669.010391,593.918238,0
669.063658,594.108719,0
669.117384,594.298843,0
669.170982,594.488853,0
669.223866,594.678993,0
669.275451,594.869507,0
669.325179,595.060628,0
669.373244,595.252319,0
669.420628,595.444257,0
669.468349,595.636108,0
669.517428,595.827537,0
669.568883,596.018208,0
669.623733,596.207788,0
669.682967,596.395949,0
669.746684,596.582663,0
669.813963,596.768233,0
669.883824,596.952985,0
669.955290,597.137243,0
670.027383,597.321332,0
670.099125,597.505575,0
670.169539,597.690297,0
670.237648,597.875821,0
670.302948,598.062312,0
670.365940,598.249589,0
670.427255,598.437431,0
670.487524,598.625614,0
670.547379,598.813915,0
670.607450,599.002112,0
670.668368,599.189982,0
670.730765,599.377301,0
670.795271,599.563846,0
670.862431,599.749427,0
670.932140,599.934084,0
671.004001,600.117963,0
671.077613,600.301212,0
671.152577,600.483978,0
671.228494,600.666407,0
671.304964,600.848647,0
671.381588,601.030845,0
671.457966,601.213147,0
671.533698,601.395701,0
671.608386,601.578654,0
671.681787,601.762093,0
671.754043,601.945965,0
671.825352,602.130192,0
671.895915,602.314698,0
671.965931,602.499407,0
672.035598,602.684242,0
672.105116,602.869126,0
672.174684,603.053983,0
672.244502,603.238737,0
672.314769,603.423312,0
672.385684,603.607629,0
672.457443,603.791615,0
672.530127,603.975239,0
672.603647,604.158535,0
672.677899,604.341546,0
672.752781,604.524310,0
672.828191,604.706869,0
672.904026,604.889263,0
672.980184,605.071531,0
673.056561,605.253716,0
673.133056,605.435857,0
673.209566,605.617994,0
673.285988,605.800168,0
673.362220,605.982419,0
673.438161,606.164788,0
673.513768,606.347290,0
673.589090,606.529905,0
673.664185,606.712611,0
673.739109,606.895383,0
673.813919,607.078198,0
673.888671,607.261034,0
673.963422,607.443867,0
674.038229,607.626673,0
674.113148,607.809430,0
674.188237,607.992114,0
674.263552,608.174703,0
674.339149,608.357172,0
674.415085,608.539498,0
674.491417,608.721659,0
674.568181,608.903639,0
674.645358,609.085447,0
674.722918,609.267095,0
674.800834,609.448593,0
674.879075,609.629955,0
674.957615,609.811192,0
675.036423,609.992315,0
675.115471,610.173337,0
675.194731,610.354270,0
675.274174,610.535124,0
675.353770,610.715913,0
675.433492,610.896648,0
675.513311,611.077341,0
675.593198,611.258003,0
675.673124,611.438647,0
675.753062,611.619283,0
675.832992,611.799921,0
675.912904,611.980565,0
675.992784,612.161221,0
676.072619,612.341894,0
676.152398,612.522591,0
676.232107,612.703318,0
